Id,Open Date,City,City Group,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,Days Opened,revenue
52,11/12/13,Uè_ak,Other,FC,2,3,4,4,2,1,1,4,4,5,3,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,499,1763231
53,3/29/13,Samsun,Other,FC,3,4,4,3,1,2,5,5,5,5,2,5,5,0,0,0,0,0,2,4,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,727,5595267
54,6/5/99,Mué_la,Other,IL,2,4,5,4,1,1,3,4,4,4,4,2,3,0,0,0,0,0,1,2,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5773,4651866
55,8/12/08,é¯stanbul,Big Cities,FC,2,4,4,4,1,4,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2417,6941173
56,3/16/13,é¯stanbul,Big Cities,IL,4,5,4,4,2,2,5,4,4,4,5,3,4,0,0,0,0,0,4,5,2,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,740,2390534
57,6/21/08,Antalya,Other,FC,2,3,4,3,1,4,5,5,5,5,2,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2469,3258837
58,4/11/12,é¯stanbul,Big Cities,FC,3,4,4,5,2,2,5,5,5,5,2,5,5,0,0,0,0,0,1,3,1,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1079,3004429
59,12/1/07,é¯stanbul,Big Cities,FC,4,5,4,4,1,3,5,5,5,5,2,5,5,0,0,0,0,0,3,3,1,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2672,3600467
60,5/1/12,Ankara,Big Cities,IL,12,7.5,6,6,2,6,10,8,10,10,6,10,7.5,6,4,9,3,12,10,15,6,3,10,4,4,5,2.5,5,7.5,10,15,20,4,18,12,12,2,1059,3164972
61,5/30/08,é¯stanbul,Big Cities,FC,12,7.5,6,6,4,6,10,8,8,8,6,8,6,0,0,0,0,0,15,12,3,2,5,0,0,0,0,7.5,5,0,0,0,0,0,0,0,0,2491,4350573
62,11/15/10,Sakarya,Other,FC,2,4,4,4,2,3,5,5,5,4,2,5,4,4,1,2,2,4,3,1,1,1,1,3,3,3,1,2,3,1,1,3,2,3,1,3,3,1592,5286212
63,8/5/13,KéÒrklareli,Other,FC,2,2,4,4,3,1,4,5,5,5,2,5,5,0,0,0,0,0,2,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,598,1619683
64,7/13/98,é¯stanbul,Big Cities,IL,12,7.5,6,6,2,8,10,10,10,10,4,10,7.5,15,10,15,15,12,10,9,6,3,5,10,10,12.5,5,5,7.5,20,15,25,4,24,15,20,6,6100,2551252
65,12/21/13,é¯zmir,Big Cities,FC,3,5,4,3,1,2,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,460,1756069
66,1/9/10,Konya,Other,FC,2,2,4,3,1,1,1,4,5,5,3,5,5,0,0,0,0,0,4,3,1,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1902,1882131
67,3/1/11,é¯stanbul,Big Cities,FC,4,5,4,5,2,4,5,4,4,4,3,3,4,0,0,0,0,0,5,5,3,5,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1486,4052733
68,3/16/10,é¯stanbul,Big Cities,IL,2,4,3,4,2,3,5,5,5,4,1,5,4,2,2,2,1,4,2,1,1,2,1,5,3,5,5,2,3,5,5,5,4,4,4,3,4,1836,3836721
69,8/30/11,Konya,Other,IL,2,2,4,5,4,2,5,5,5,5,1,5,5,0,0,0,0,0,3,1,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1304,3452382
70,11/27/06,é¯stanbul,Big Cities,FC,4,5,4,4,1,4,5,5,5,5,2,5,5,0,0,0,0,0,3,5,1,4,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3041,3982767
71,12/6/06,é¯stanbul,Big Cities,IL,12,7.5,6,6,2,10,10,10,10,10,4,10,7.5,9,8,12,3,12,10,9,6,3,5,8,8,10,10,10,7.5,5,6,10,6,18,12,12,6,3032,4136425
72,8/5/09,é¯zmir,Big Cities,IL,3,5,4,4,2,2,5,3,4,5,5,4,5,3,2,3,1,4,4,5,5,3,5,5,2,5,3,5,1,4,3,3,2,3,4,3,1,2059,2525375
73,10/4/11,Ankara,Big Cities,FC,4,5,4,5,2,2,5,3,4,5,5,4,5,0,0,0,0,0,5,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1269,3347767
74,12/1/11,é¯stanbul,Big Cities,IL,12,7.5,6,6,2,8,10,8,8,8,8,8,6,12,10,12,9,9,20,15,6,4,25,10,8,10,2.5,12.5,2.5,20,9,15,4,12,12,12,4,1211,5500818
75,10/15/05,é¯stanbul,Big Cities,FC,5,5,4,5,1,4,5,3,4,4,5,3,4,0,0,0,0,0,5,5,5,5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3449,16549064
76,11/25/08,é¯stanbul,Big Cities,FC,2,2,4,4,2,2,5,5,5,5,2,5,5,0,0,0,0,0,3,4,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2312,4590423
77,10/25/13,Ankara,Big Cities,FC,3,5,3,5,3,4,5,4,4,4,5,4,4,0,0,0,0,0,5,5,1,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,517,1904842
78,9/29/12,Ankara,Big Cities,IL,9,7.5,6,7.5,8,6,10,10,8,8,4,6,6,3,2,9,3,12,25,12,6,2,10,4,4,5,2.5,7.5,2.5,20,9,20,4,18,12,12,2,908,3871344
79,1/25/10,Adana,Other,IL,4,5,4,3,1,3,5,5,5,5,1,5,5,2,2,4,2,4,3,3,1,4,4,3,3,3,2,2,3,4,5,5,3,3,4,4,3,1886,6313221
80,10/16/09,é¯stanbul,Big Cities,FC,4,5,4,5,1,3,5,5,5,5,2,5,5,0,0,0,0,0,3,5,2,5,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1987,3727364
81,12/16/05,é¯stanbul,Big Cities,FC,2,4,4,4,1,3,5,4,5,5,3,5,5,0,0,0,0,0,2,4,2,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3387,4066618
82,2/23/10,Karab«¨k,Other,FC,2,2,4,3,2,1,5,4,5,5,5,5,5,0,0,0,0,0,5,4,2,2,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1857,3807496
83,8/12/98,é¯stanbul,Big Cities,IL,2,4,4,4,2,5,5,4,5,4,3,5,4,4,4,5,5,5,2,4,1,2,1,5,5,5,1,2,3,5,5,5,3,4,4,5,3,6070,5966193
84,10/9/09,é¯zmir,Big Cities,IL,4,4,5,3,1,3,5,5,5,5,2,5,5,3,2,4,1,4,1,3,2,2,3,3,2,3,5,2,3,4,3,3,2,4,4,3,1,1994,4250553
85,1/7/00,é¯stanbul,Big Cities,FC,3,5,4,4,2,5,5,4,5,4,3,5,4,0,0,0,0,0,1,4,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5557,7495092
86,7/26/11,Bursa,Other,FC,3,3,4,4,2,2,5,4,5,5,3,5,5,0,0,0,0,0,3,5,1,3,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1339,3351383
87,2/11/08,é¯stanbul,Big Cities,FC,5,5,4,4,1,3,5,5,4,4,2,4,4,0,0,0,0,0,5,5,3,4,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2600,5906596
88,7/10/13,Antalya,Other,FC,1,2,5,4,1,2,1,4,5,5,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,624,2025297
89,5/11/09,é¯stanbul,Big Cities,IL,1,1,4,3,1,2,1,5,5,5,1,5,5,1,1,1,1,1,2,1,1,1,1,1,1,1,5,1,3,5,4,4,3,3,4,2,3,2145,2364478
90,8/8/13,é¯stanbul,Big Cities,FC,12,7.5,6,6,2,8,10,10,8,8,4,8,6,0,0,0,0,0,15,9,3,3,5,0,0,0,0,5,7.5,0,0,0,0,0,0,0,0,595,3426169
91,6/20/07,Bursa,Other,IL,3,5,4,4,1,2,5,5,5,5,1,5,5,0,0,0,0,0,3,2,1,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2836,2083447
92,11/1/02,é¯stanbul,Big Cities,FC,12,7.5,7.5,6,2,10,10,8,8,10,8,8,7.5,0,0,0,0,0,25,15,6,3,25,0,0,0,0,10,7.5,0,0,0,0,0,0,0,0,4528,6782425
93,10/14/12,Tekirdaé_,Other,IL,3,4,4,4,1,2,5,4,4,5,4,4,5,5,5,3,2,4,3,5,1,3,1,2,2,2,1,2,2,3,1,4,3,4,5,5,3,893,3410878
94,8/8/11,Samsun,Other,FC,2,3,4,4,2,2,5,5,5,5,1,5,5,3,2,4,1,3,3,2,1,2,1,5,1,2,5,1,3,4,4,3,4,4,4,3,5,1326,3753720
95,6/8/12,Samsun,Other,FC,2,4,4,4,2,2,5,5,5,5,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1021,1270499
96,11/27/11,DiyarbakéÒr,Other,FC,4,5,2,4,2,2,5,4,4,4,3,4,4,0,0,0,0,0,3,2,1,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1215,6412623
97,1/26/09,é¯stanbul,Big Cities,FC,3,5,4,4,1,4,5,4,5,4,4,5,4,0,0,0,0,0,4,5,2,4,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2250,6694797
98,3/11/11,Denizli,Other,FC,3,4,4,4,1,2,5,2,4,5,5,4,5,0,0,0,0,0,3,5,1,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1476,2344689
99,12/18/99,é¯stanbul,Big Cities,IL,4,5,4,4,2,4,5,4,4,4,5,3,4,5,5,5,5,5,5,5,5,3,1,5,5,5,1,5,1,5,5,4,2,5,5,5,3,5577,13575224
100,9/21/07,é¯stanbul,Big Cities,FC,3,5,4,4,2,5,5,5,5,5,2,5,5,0,0,0,0,0,4,5,2,2,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2743,9652350
101,9/9/12,BaléÒkesir,Other,IL,3,4,5,4,2,2,5,4,5,5,4,5,5,5,4,5,5,4,5,5,4,2,5,1,1,1,0,2,3,5,5,5,5,4,5,5,4,928,4758476
102,9/11/04,DiyarbakéÒr,Other,FC,4,5,2,5,2,2,5,4,4,4,3,4,4,0,0,0,0,0,4,4,1,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3848,2738052
103,12/6/11,Tekirdaé_,Other,FC,2,4,4,4,1,2,5,5,5,5,2,5,5,0,0,0,0,0,2,3,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1206,4429512
104,1/22/07,Adana,Other,IL,4,5,4,3,1,3,5,5,5,5,2,5,5,1,2,2,1,3,2,5,1,3,4,1,1,4,3,2,3,5,5,3,3,5,4,3,2,2985,4467728
105,3/15/08,AydéÒn,Other,FC,1,2,5,3,1,2,1,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2567,2792031
106,6/15/08,Antalya,Other,FC,3,3,6,6,4,2,2,8,10,10,6,10,7.5,0,0,0,0,0,5,3,3,1,5,0,0,0,0,2.5,7.5,0,0,0,0,0,0,0,0,2475,4888774
107,5/1/11,Samsun,Other,IL,4,4,4,4,1,2,5,4,5,5,3,5,5,3,5,5,3,4,5,5,3,3,5,2,2,2,3,3,1,5,5,5,3,4,4,4,3,1425,3248660
108,7/9/12,Mué_la,Other,FC,1,2,5,4,1,2,1,5,4,4,2,4,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,990,3570392
109,8/25/07,Ankara,Big Cities,FC,2,4,3,5,4,5,5,4,4,4,5,4,4,0,0,0,0,0,1,2,1,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2770,4219263
110,9/26/12,Amasya,Other,IL,6,3,6,6,4,4,10,8,10,10,6,10,7.5,9,8,12,3,12,10,12,6,1,10,2,2,2.5,2.5,5,7.5,15,3,15,6,18,12,16,6,911,2954086
111,8/10/12,K«¨tahya,Other,FC,2,3,4,4,2,1,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,958,2993069
112,3/14/98,é¯stanbul,Big Cities,IL,4,5,5,4,1,5,5,5,4,4,2,4,4,3,4,2,1,4,2,3,2,2,1,3,3,4,5,3,3,3,2,1,2,2,1,3,3,6221,3784230
113,12/9/06,Tekirdaé_,Other,FC,3,4,4,4,1,2,5,5,5,5,2,5,5,0,0,0,0,0,2,3,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3029,2097022
114,12/6/08,Eskiè_ehir,Other,IL,4,5,5,4,2,2,5,4,5,5,3,5,5,3,4,3,1,3,5,5,4,5,5,3,3,3,2,4,1,5,3,3,2,3,4,3,1,2301,4155435
115,5/4/12,é¯stanbul,Big Cities,IL,6,4.5,6,6,4,8,10,10,10,10,4,10,7.5,6,4,12,6,12,5,9,3,2,5,8,8,10,12.5,5,7.5,25,15,25,4,18,12,16,8,1056,4882985
116,3/30/12,é¯zmir,Big Cities,FC,2,4,4,4,2,2,5,4,4,5,3,4,5,0,0,0,0,0,2,2,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1091,8894598
117,12/27/05,Ankara,Big Cities,IL,3,5,4,5,3,3,5,4,4,5,4,2,5,1,3,3,1,4,5,5,4,2,2,1,1,1,1,3,1,3,3,3,2,3,4,3,1,3376,2018785
118,12/25/09,é¯stanbul,Big Cities,IL,12,7.5,7.5,4.5,2,10,10,10,10,10,4,10,7.5,3,4,9,3,3,10,15,3,4,5,6,4,7.5,5,10,5,25,6,10,4,18,12,12,2,1917,1847826
119,1/3/14,é¯stanbul,Big Cities,IL,4,5,4,4,2,3,5,5,5,5,1,5,5,0,0,0,0,0,2,2,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,447,3780019
120,8/18/11,AydéÒn,Other,FC,2,3,4,4,2,2,5,4,5,5,3,5,5,0,0,0,0,0,5,4,2,2,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1316,4067566
121,11/13/04,é¯zmir,Big Cities,FC,2,4,4,4,2,3,5,5,5,4,2,5,4,0,0,0,0,0,2,2,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3785,3445076
122,4/10/97,é¯stanbul,Big Cities,IL,12,7.5,6,7.5,2,8,10,8,8,8,10,6,6,15,8,12,6,9,25,15,9,5,15,6,10,10,5,12.5,2.5,25,15,25,6,18,3,16,6,6559,4286645
123,11/5/11,Bolu,Other,FC,1,1,4,3,1,1,1,4,5,5,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1237,4263629
124,8/18/05,Ankara,Big Cities,DT,1,3,0,5,5,5,1,5,5,5,2,5,5,0,0,0,0,0,1,2,2,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3507,3810007
125,9/1/10,Trabzon,Other,IL,9,6,6,6,4,6,10,6,8,10,10,8,7.5,9,10,15,3,12,15,15,9,2,25,6,4,7.5,2.5,5,7.5,20,9,15,4,24,12,16,2,1667,4780607
126,7/20/08,Isparta,Other,IL,3,3,4,4,2,2,5,4,5,5,3,5,5,1,5,4,2,4,5,5,2,1,4,3,3,3,2,2,3,5,5,5,4,2,5,3,2,2440,4015749
127,9/7/07,Bursa,Other,FC,3,4,4,4,2,2,5,5,5,5,1,5,5,0,0,0,0,0,3,2,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2757,7592272
128,10/14/11,Ankara,Big Cities,FC,2,4,4,4,1,2,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1259,2383840
129,2/8/07,Eskiè_ehir,Other,FC,4,5,5,4,2,2,5,4,5,5,3,5,5,0,0,0,0,0,5,5,4,5,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2968,3939804
130,10/29/11,Osmaniye,Other,FC,3,4,3,4,2,1,5,5,5,5,2,5,5,0,0,0,0,0,3,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1244,3376145
